age,sex,qx
0,F,0.000676
1,F,0.000497
2,F,0.000362
3,F,0.000278
4,F,0.000223
5,F,0.000187
6,F,0.000163
7,F,0.000147
8,F,0.000137
9,F,0.000131
10,F,0.000129
11,F,0.000131
12,F,0.000140
13,F,0.000150
14,F,0.000175
15,F,0.000209
16,F,0.000244
17,F,0.000278
18,F,0.000311
19,F,0.000344
20,F,0.000381
21,F,0.000421
22,F,0.000461
23,F,0.000498
24,F,0.000534
25,F,0.000571
26,F,0.000602
27,F,0.000632
28,F,0.000663
29,F,0.000695
30,F,0.000728
31,F,0.000762
32,F,0.000796
33,F,0.000833
34,F,0.000871
35,F,0.000908
36,F,0.000955
37,F,0.001003
38,F,0.001050
39,F,0.001107
40,F,0.001164
41,F,0.001233
42,F,0.001301
43,F,0.001387
44,F,0.001472
45,F,0.001558
46,F,0.001667
47,F,0.001777
48,F,0.001886
49,F,0.002025
50,F,0.002165
51,F,0.002340
52,F,0.002516
53,F,0.002720
54,F,0.002923
55,F,0.003127
56,F,0.003395
57,F,0.003663
58,F,0.003931
59,F,0.004281
60,F,0.004632
61,F,0.005103
62,F,0.005574
63,F,0.006097
64,F,0.006621
65,F,0.007144
66,F,0.007824
67,F,0.008503
68,F,0.009183
69,F,0.010157
70,F,0.011131
71,F,0.012335
72,F,0.013539
73,F,0.014938
74,F,0.016338
75,F,0.017737
76,F,0.019590
77,F,0.021443
78,F,0.023296
79,F,0.025769
80,F,0.028242
81,F,0.031281
82,F,0.034321
83,F,0.037778
84,F,0.041235
85,F,0.044692
86,F,0.049194
87,F,0.053697
88,F,0.058199
89,F,0.064070
90,F,0.069941
91,F,0.076982
92,F,0.084023
93,F,0.092181
94,F,0.100338
95,F,0.108496
96,F,0.119038
97,F,0.129579
98,F,0.140121
99,F,0.152008
100,F,0.163895
101,F,0.177805
102,F,0.191715
103,F,0.205925
104,F,0.220136
105,F,0.234346
106,F,0.251695
107,F,0.269044
108,F,0.286393
109,F,0.307351
110,F,0.328310
111,F,0.354656
112,F,0.381002
113,F,0.407348
114,F,0.433694
115,F,0.460040
116,F,0.568032
117,F,0.676024
118,F,0.784016
119,F,0.892008
120,F,1.000000
