age,sex,qx
0,M,0.000829
1,M,0.000634
2,M,0.000455
3,M,0.000344
4,M,0.000272
5,M,0.000225
6,M,0.000195
7,M,0.000174
8,M,0.000161
9,M,0.000154
10,M,0.000151
11,M,0.000153
12,M,0.000164
13,M,0.000175
14,M,0.000204
15,M,0.000244
16,M,0.000285
17,M,0.000325
18,M,0.000364
19,M,0.000403
20,M,0.000447
21,M,0.000494
22,M,0.000541
23,M,0.000584
24,M,0.000628
25,M,0.000671
26,M,0.000707
27,M,0.000743
28,M,0.000779
29,M,0.000817
30,M,0.000855
31,M,0.000895
32,M,0.000935
33,M,0.000979
34,M,0.001023
35,M,0.001067
36,M,0.001123
37,M,0.001178
38,M,0.001234
39,M,0.001301
40,M,0.001368
41,M,0.001449
42,M,0.001530
43,M,0.001631
44,M,0.001731
45,M,0.001832
46,M,0.001961
47,M,0.002089
48,M,0.002218
49,M,0.002383
50,M,0.002547
51,M,0.002753
52,M,0.002960
53,M,0.003200
54,M,0.003439
55,M,0.003679
56,M,0.003994
57,M,0.004310
58,M,0.004625
59,M,0.005038
60,M,0.005450
61,M,0.006004
62,M,0.006557
63,M,0.007172
64,M,0.007787
65,M,0.008402
66,M,0.009200
67,M,0.009998
68,M,0.010796
69,M,0.011940
70,M,0.013085
71,M,0.014499
72,M,0.015913
73,M,0.017555
74,M,0.019196
75,M,0.020838
76,M,0.023013
77,M,0.025188
78,M,0.027363
79,M,0.030269
80,M,0.033175
81,M,0.036744
82,M,0.040314
83,M,0.044371
84,M,0.048429
85,M,0.052486
86,M,0.057773
87,M,0.063060
88,M,0.068347
89,M,0.075231
90,M,0.082115
91,M,0.090382
92,M,0.098648
93,M,0.108249
94,M,0.117850
95,M,0.127451
96,M,0.139814
97,M,0.152177
98,M,0.164540
99,M,0.178475
100,M,0.192410
101,M,0.208760
102,M,0.225110
103,M,0.241800
104,M,0.258490
105,M,0.275180
106,M,0.295557
107,M,0.315933
108,M,0.336310
109,M,0.360925
110,M,0.385540
111,M,0.416484
112,M,0.447428
113,M,0.478372
114,M,0.509316
115,M,0.540260
116,M,0.632208
117,M,0.724156
118,M,0.816104
119,M,0.908052
120,M,1.000000
